"","belongs_to_collection","budget","original_language","production_companies","revenue","runtime","famous_count","Drama","Action","Romance","Adventure","Crime","Science.Fiction","Horror","Family","Fantasy","Animation","History","Documentary","Western","Foreign"
"159","FALSE",4800000,"Europe","Smaller company",79384880,121,1,"1","0","1","0","0","0","0","0","0","0","0","0","0","0"
"160","FALSE",3500000,"English","Smaller company",2015810,129,2,"1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"161","FALSE",7e+06,"English","Smaller company",2697930,106,1,"1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"162","FALSE",6.5e+07,"English","Smaller company",162091208,159,5,"1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"163","FALSE",3.5e+07,"English","The Walt Disney Studios",326551094,109,4,"1","0","1","0","0","0","0","0","0","0","0","0","0","0"
"164","TRUE",8e+07,"English","NBCUniversal",2.8e+08,126,7,"0","1","0","0","0","0","0","0","1","0","0","0","0","0"
"165","TRUE",1800000,"English","Warner Bros. Entertainment",25504513,91,4,"0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"166","FALSE",6e+06,"English","The Walt Disney Studios",29180280,94,6,"0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"167","FALSE",1.4e+07,"English","The Walt Disney Studios",5080409,115,11,"1","0","0","0","1","0","0","0","0","0","0","0","0","0"
"168","FALSE",2.5e+07,"English","Smaller company",412800000,133,5,"1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"169","FALSE",1.4e+07,"Europe","Smaller company",8.5e+07,149,1,"1","1","0","1","0","0","0","0","0","0","1","0","0","0"
"170","FALSE",4.5e+07,"English","Smaller company",184376254,129,7,"1","0","0","0","1","0","0","0","0","0","0","0","0","0"
"171","FALSE",2.5e+07,"English","Paramount Global",152500343,121,7,"1","0","1","0","0","0","0","0","0","0","0","0","0","0"
"172","TRUE",3e+07,"English","Paramount Global",152159461,136,6,"0","1","0","0","1","0","0","0","0","0","0","0","0","0"
