"","id","original_title","belongs_to_collection","budget","original_language","production_companies","revenue","runtime","famous_count"
"2791",23685,"Monkeybone",FALSE,7.5e+07,"English","The Walt Disney Studios",5409517,93,7
"2792",23706,"All About Steve",FALSE,1.5e+07,"English","Warner Bros. Entertainment",40105542,99,8
"2793",23730,"C.H.U.D.",TRUE,1250000,"English","Smaller company",3412497,88,4
"2794",23742,"Cop Out",FALSE,3e+07,"English","Warner Bros. Entertainment",55583804,107,6
"2795",23759,"Centurion",FALSE,1.2e+07,"English","Smaller company",6814789,97,3
"2796",23827,"Paranormal Activity",TRUE,15000,"English","Smaller company",193355800,86,0
"2797",23830,"Last Night",FALSE,7e+06,"English","Smaller company",7644937,90,4
"2798",23919,"Porky's Revenge",TRUE,9e+06,"English","Smaller company",20518905,92,0
"2799",23939,"Stay Tuned",FALSE,2.5e+07,"English","Warner Bros. Entertainment",10736401,87,2
"2800",23947,"Nasty Old People",FALSE,15000,"English","Smaller company",5300,84,0
"2801",23949,"Tape",FALSE,1e+05,"English","Smaller company",490475,86,2
"2802",23954,"Atlantic City",FALSE,7200000,"English","Paramount Global",12729678,104,5
"2803",23963,"Pontypool",FALSE,1500000,"English","Smaller company",32000,93,1
"2804",24016,"The Sheltering Sky",FALSE,2.5e+07,"English","Warner Bros. Entertainment",2075084,138,2
"2805",24021,"The Twilight Saga: Eclipse",TRUE,6.8e+07,"English","Smaller company",698491347,124,8
"2806",24049,"சிவாஜி",FALSE,1.2e+07,"India","Smaller company",1.9e+07,185,0
"2807",24066,"Happy, Texas",FALSE,1700000,"English","Paramount Global",1943649,98,6
"2808",24100,"The Little Vampire",FALSE,2.2e+07,"English","Warner Bros. Entertainment",13555988,95,1
"2809",24113,"Town & Country",FALSE,9e+07,"English","Warner Bros. Entertainment",10372291,104,4
"2810",24128,"Stop Making Sense",FALSE,1200000,"English","Smaller company",4978922,88,0
"2811",24137,"An Ideal Husband",FALSE,1.4e+07,"English","Paramount Global",18535191,97,4
"2812",24150,"Halloween II",TRUE,1.5e+07,"English","Smaller company",39421467,105,7
"2813",24206,"Silent Trigger",FALSE,1.5e+07,"English","Smaller company",76382,93,1
"2814",24226,"The Verdict",FALSE,1.6e+07,"English","The Walt Disney Studios",53977250,129,3
"2815",24238,"Mary and Max",FALSE,590235,"English","Smaller company",1725381,92,3
"2816",24264,"Sheena",FALSE,2.5e+07,"English","Sony Pictures Entertainment",5778353,117,0
"2817",24266,"The Man from Snowy River",TRUE,3500000,"English","The Walt Disney Studios",20659423,104,1
"2818",24274,"Dead & Buried",FALSE,3e+06,"English","Smaller company",216166,94,2
"2819",24276,"Matewan",FALSE,4e+06,"English","Smaller company",1680358,132,5
"2820",24293,"Goemon",FALSE,9e+06,"Asia","Smaller company",1.6e+07,128,0
"2821",24418,"Cirque du Freak: The Vampire's Assistant",FALSE,4e+07,"English","NBCUniversal",28169671,109,10
"2822",24420,"The Time Traveler's Wife",FALSE,3.9e+07,"English","Warner Bros. Entertainment",101229792,107,4
"2823",24428,"The Avengers",TRUE,2.2e+08,"English","Paramount Global",1519557910,143,15
"2824",24438,"Did You Hear About the Morgans?",FALSE,5.8e+07,"English","Sony Pictures Entertainment",85280250,103,5
"2825",24469,"Fish Tank",FALSE,3e+06,"English","Smaller company",2357852,123,1
"2826",24558,"Loose Cannons",FALSE,1500000,"English","Sony Pictures Entertainment",5585154,94,8
"2827",24618,"Bee Season",FALSE,1.4e+07,"English","Smaller company",6856989,104,3
"2828",24662,"Cats Don't Dance",FALSE,3.2e+07,"English","Warner Bros. Entertainment",3566637,75,0
"2829",24684,"An Education",FALSE,7500000,"English","Smaller company",26096852,100,7
"2830",24686,"Lyubov V Bolshom Gorode",TRUE,3500000,"English","Smaller company",9112193,88,0
"2831",24739,"Miracle Mile",FALSE,3e+06,"English","Smaller company",1145404,87,3
"2832",24746,"Six-String Samurai",FALSE,2e+06,"English","Smaller company",124494,91,0
"2833",24803,"Julie & Julia",FALSE,4e+07,"English","Sony Pictures Entertainment",129540499,123,5
"2834",24804,"Black Dynamite",FALSE,2900000,"English","Smaller company",296557,90,3
"2835",24808,"Something Wicked This Way Comes",FALSE,1.9e+07,"English","The Walt Disney Studios",5656087,95,2
"2836",24873,"Death Wish 3",TRUE,9e+06,"English","Smaller company",16945171,92,1
"2837",24924,"Night of the Demons",TRUE,1200000,"English","Smaller company",3109904,90,0
"2838",24927,"Night Of The Living Dead 3D",FALSE,3e+06,"English","Smaller company",1449945,80,0
"2839",24929,"Return of the Living Dead Part II",TRUE,6200000,"English","Smaller company",9205924,89,0
"2840",24940,"Head Over Heels",FALSE,1.4e+07,"English","NBCUniversal",10424470,86,1
"2841",24982,"Ghosts of the Abyss",FALSE,1.3e+07,"English","The Walt Disney Studios",17040871,92,1
"2842",25066,"Tales from the Hood",FALSE,6e+06,"English","Smaller company",1.2e+07,98,3
"2843",25132,"Shorts",FALSE,4e+07,"English","Warner Bros. Entertainment",28972508,89,3
"2844",25137,"Beyond a Reasonable Doubt",FALSE,2.5e+07,"English","Smaller company",4388563,105,3
"2845",25147,"Jude",FALSE,7e+06,"English","Smaller company",405000,123,2
"2846",25166,"Drowning Mona",FALSE,1.6e+07,"English","Smaller company",15427192,96,8
"2847",25183,"Paper Heart",FALSE,1e+06,"English","Smaller company",1296971,88,3
"2848",25186,"Janky Promoters",FALSE,1e+07,"English","Smaller company",9069,85,4
"2849",25195,"Leap Year",FALSE,1.9e+07,"English","NBCUniversal",29922472,100,4
"2850",25196,"Crazy Heart",FALSE,7e+06,"English","The Walt Disney Studios",39462438,112,7
"2851",25221,"For the Boys",FALSE,4e+07,"English","Smaller company",23202444,138,2
"2852",25269,"Article 99",FALSE,1.8e+07,"English","Smaller company",6375979,100,7
"2853",25296,"Pushing Hands",FALSE,4e+05,"Asia","Smaller company",152322,105,0
"2854",25330,"Dutch",FALSE,1.7e+07,"English","The Walt Disney Studios",4603929,107,3
"2855",25376,"El secreto de sus ojos",FALSE,2e+06,"Europe","Smaller company",33965843,129,0
"2856",25461,"Raising Victor Vargas",FALSE,8e+05,"English","Smaller company",2816116,88,0
"2857",25520,"The House of Mirth",FALSE,1e+07,"English","Smaller company",5164404,140,2
"2858",25598,"The Indian Runner",FALSE,7e+06,"English","Smaller company",191125,127,4
"2859",25624,"Rosewood",FALSE,3e+07,"English","Smaller company",13130349,140,8
"2860",25643,"Love Happens",FALSE,1.8e+07,"English","NBCUniversal",36133014,109,7
"2861",25704,"Post Grad",FALSE,1.5e+07,"English","Warner Bros. Entertainment",6405245,89,6
"2862",25719,"Shooting Fish",FALSE,3e+06,"English","Smaller company",302204,109,2
"2863",25748,"Children of the Corn II: The Final Sacrifice",TRUE,9e+05,"English","Smaller company",6980986,92,0
"2864",25784,"Vượt Sóng",FALSE,1300000,"Asia","Smaller company",639000,135,0
"2865",25793,"Precious",FALSE,1e+07,"English","Smaller company",47536959,110,1
"2866",25853,"Dahmer",FALSE,250000,"English","Smaller company",144008,101,1
"2867",25941,"Harry Brown",FALSE,7300000,"English","Smaller company",10329747,103,4
"2868",26022,"My Name Is Khan",FALSE,1.2e+07,"India","The Walt Disney Studios",42345360,145,1
"2869",26142,"The Doctor",FALSE,1.2e+07,"English","The Walt Disney Studios",38120905,122,2
"2870",26147,"FC Venus",FALSE,2196531,"Europe","Smaller company",2411594,107,0
"2871",26149,"Music of the Heart",FALSE,2.7e+07,"English","Smaller company",14859394,124,6
"2872",26178,"Razorback",FALSE,5500000,"English","Smaller company",801000,95,0
"2873",26198,"The Keep",FALSE,6e+06,"English","Paramount Global",3661757,96,5
"2874",26306,"Prefontaine",FALSE,8e+06,"English","The Walt Disney Studios",589304,106,3
"2875",26352,"A Low Down Dirty Shame",FALSE,1e+07,"English","The Walt Disney Studios",29392418,100,2
"2876",26386,"Ernest Saves Christmas",TRUE,6e+06,"English","The Walt Disney Studios",28202109,95,0
"2877",26388,"Buried",FALSE,1987650,"English","Smaller company",19152480,94,2
"2878",26389,"From Paris with Love",FALSE,5.2e+07,"English","Smaller company",52826594,92,2
"2879",26390,"Brooklyn's Finest",FALSE,1.7e+07,"English","NBCUniversal",29536299,133,8
"2880",26428,"Agora",FALSE,7e+07,"English","Smaller company",39041505,127,2
"2881",26515,"Pumpkinhead",TRUE,3500000,"English","Smaller company",4385516,86,1
"2882",26522,"A Soldier's Story",FALSE,6e+06,"English","Sony Pictures Entertainment",21821347,101,2
"2883",26555,"Club Paradise",FALSE,1.5e+07,"English","Warner Bros. Entertainment",12308521,96,5
"2884",26579,"The Heart is Deceitful Above All Things",FALSE,74050,"English","Smaller company",176153,98,6
"2885",26602,"Summer Catch",FALSE,3.4e+07,"English","Smaller company",19693891,108,5
"2886",26670,"Noises Off...",FALSE,1.2e+07,"English","Smaller company",2280148,101,1
"2887",26688,"Sorority Row",FALSE,12500000,"English","Smaller company",27206120,101,2
"2888",26748,"Lone Star",FALSE,5e+06,"English","Warner Bros. Entertainment",13269963,135,6
"2889",26791,"Brigham City",FALSE,1e+06,"English","Smaller company",852206,119,0
"2890",26899,"The Mudge Boy",FALSE,8e+05,"English","Smaller company",62852,94,2
"2891",26978,"Spacehunter: Adventures in the Forbidden Zone",FALSE,1.5e+07,"English","Sony Pictures Entertainment",16500000,90,2
"2892",27004,"Ca$h",FALSE,7e+06,"English","Smaller company",46488,108,4
"2893",27022,"The Sorcerer's Apprentice",FALSE,1.5e+08,"English","The Walt Disney Studios",215283742,109,6
"2894",27023,"Saint John of Las Vegas",FALSE,3800000,"English","Smaller company",111731,84,4
"2895",27046,"Ирония судьбы. Продолжение",TRUE,5e+06,"Europe","Smaller company",55635037,125,0
"2896",27064,"Mishima: A Life in Four Chapters",FALSE,5e+06,"English","The Walt Disney Studios",502758,121,0
"2897",27150,"Silent Rage",FALSE,4500000,"English","Sony Pictures Entertainment",10500000,103,0
"2898",27205,"Inception",FALSE,1.6e+08,"English","Smaller company",825532764,148,10
"2899",27274,"Frankenhooker",FALSE,2500000,"English","Smaller company",205068,85,0
